animal_name,sex,genotype,fatmass,mean_experimental_age,freewater,leanmass,totalwater
TDP43-Q331K-B6J-IC/5.1g,m,TDP-43_Q331K:Hom,2.45,10,0.25,25.52,19.85
TDP43-Q331K-B6J-IC/5.1g,m,TDP-43_Q331K:Hom,5.12,20,0.2,28.31,22.2
TDP43-Q331K-B6J-IC/5.1g,m,TDP-43_Q331K:Hom,12.17,48,0.5,31.99,25.91
TDP43-Q331K-B6J-IC/5.1j,m,TDP-43_Q331K:Hom,1.98,10,0.38,28.91,22.59
TDP43-Q331K-B6J-IC/5.1j,m,TDP-43_Q331K:Hom,2.65,20,0.03,29.57,23.09
TDP43-Q331K-B6J-IC/5.1j,m,TDP-43_Q331K:Hom,5.3,48,0.15,29.43,22.94
TDP43-Q331K-B6J-IC/5.1j,m,TDP-43_Q331K:Hom,11.95,64,0.23,30.81,25.34
TDP43-Q331K-B6J-IC/5.1j,m,TDP-43_Q331K:Hom,11.91,72,0.05,30.76,25.94
TDP43-Q331K-B6J-IC/6.3f,m,TDP-43_Q331K:Hom,2.33,10,0.07,26.98,21.13
TDP43-Q331K-B6J-IC/6.3f,m,TDP-43_Q331K:Hom,4.38,20,0.09,27.71,21.73
TDP43-Q331K-B6J-IC/6.3f,m,TDP-43_Q331K:Hom,14.65,48,0.14,29.3,23.35
TDP43-Q331K-B6J-IC/6.3f,m,TDP-43_Q331K:Hom,19.16,64,0.12,30.27,24.96
TDP43-Q331K-B6J-IC/6.3f,m,TDP-43_Q331K:Hom,20.4,72,0.34,30.26,26.23
TDP43-Q331K-B6J-IC/6.3g,m,TDP-43_Q331K:Hom,2.62,10,0.24,25.66,20.17
TDP43-Q331K-B6J-IC/6.3g,m,TDP-43_Q331K:Hom,4.25,20,0.12,27.86,21.69
TDP43-Q331K-B6J-IC/6.3g,m,TDP-43_Q331K:Hom,11.63,48,0.17,30.46,24.35
TDP43-Q331K-B6J-IC/6.3g,m,TDP-43_Q331K:Hom,15.2,64,0.38,32.34,26.49
TDP43-Q331K-B6J-IC/6.3g,m,TDP-43_Q331K:Hom,14.16,72,0.08,31.61,26.03
TDP43-Q331K-B6J-IC/8.2e,m,TDP-43_Q331K:Hom,1.75,10,0.1,26.69,21.3
TDP43-Q331K-B6J-IC/8.2e,m,TDP-43_Q331K:Hom,2.91,20,0.05,27.52,21.38
TDP43-Q331K-B6J-IC/8.2e,m,TDP-43_Q331K:Hom,8.17,48,0.23,28,22.32
TDP43-Q331K-B6J-IC/8.2e,m,TDP-43_Q331K:Hom,7.57,64,0.1,29.72,24.13
TDP43-Q331K-B6J-IC/8.2e,m,TDP-43_Q331K:Hom,6.6,72,0,29.79,24.11
TDP43-Q331K-B6J-IC/9.1h,m,TDP-43_Q331K:Hom,1.67,10,0.07,25.88,20.32
TDP43-Q331K-B6J-IC/9.1h,m,TDP-43_Q331K:Hom,2.37,20,0.08,28.5,22.58
TDP43-Q331K-B6J-IC/9.1h,m,TDP-43_Q331K:Hom,6.45,48,0.18,28.43,22.65
TDP43-Q331K-B6J-IC/9.1h,m,TDP-43_Q331K:Hom,5.6,64,0.11,29.02,23.05
TDP43-Q331K-B6J-IC/9.2f,m,TDP-43_Q331K:Hom,2.14,10,0.04,25.57,19.96
TDP43-Q331K-B6J-IC/9.2f,m,TDP-43_Q331K:Hom,2.97,20,0,28.76,22.54
TDP43-Q331K-B6J-IC/9.2f,m,TDP-43_Q331K:Hom,8.14,48,0.14,28.7,22.19
TDP43-Q331K-B6J-IC/9.2f,m,TDP-43_Q331K:Hom,7.17,64,0.18,30.07,24.3
TDP43-Q331K-B6J-IC/9.2f,m,TDP-43_Q331K:Hom,6.29,72,0.05,29.53,23.96
