animal_name,genotype,sex,inh,smell,time
C9ORF72-GR400-MAT-B6J/6.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W2,6.5
C9ORF72-GR400-MAT-B6J/6.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W3,17.6
C9ORF72-GR400-MAT-B6J/7.1d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F1,14.6
C9ORF72-GR400-MAT-B6J/7.1d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F2,13.4
C9ORF72-GR400-MAT-B6J/7.1d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F3,5.6
C9ORF72-GR400-MAT-B6J/7.1d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N1,19.2
C9ORF72-GR400-MAT-B6J/7.1d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N2,2.7
C9ORF72-GR400-MAT-B6J/7.1d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N3,0.7
C9ORF72-GR400-MAT-B6J/7.1d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W1,16.7
C9ORF72-GR400-MAT-B6J/7.1d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W2,1
C9ORF72-GR400-MAT-B6J/7.1d,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W3,0
C9ORF72-GR400-MAT-B6J/7.1e,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F1,44.9
C9ORF72-GR400-MAT-B6J/7.1e,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F2,35.7
C9ORF72-GR400-MAT-B6J/7.1e,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F3,6.7
